sampleid,replnumber,biotreatment,temp,group,day,SampleDate
SP-216,24,Blank,25,i,30,yyyy-mm-dd
SP-206,14,Blank,25,i,30,yyyy-mm-dd
SP-213,21,Blank,25,i,30,yyyy-mm-dd
SP-204,12,Blank,25,i,30,yyyy-mm-dd
SP-203,11,Blank,25,i,30,yyyy-mm-dd
SP-211,19,Blank,25,i,30,yyyy-mm-dd
SP-205,13,Blank,25,i,60,yyyy-mm-dd
SP-197,5,Blank,25,i,60,yyyy-mm-dd
SP-196,4,Blank,25,i,60,yyyy-mm-dd
SP-214,22,Blank,25,i,60,yyyy-mm-dd
SP-193,1,Blank,25,i,60,yyyy-mm-dd
SP-207,15,Blank,25,i,60,yyyy-mm-dd
SP-230,14,Bact,25,j,0,yyyy-mm-dd
SP-221,5,Bact,25,j,0,yyyy-mm-dd
SP-219,3,Bact,25,j,0,yyyy-mm-dd
SP-232,16,Bact,25,j,0,yyyy-mm-dd
SP-234,18,Bact,25,j,0,yyyy-mm-dd
SP-224,8,Bact,25,j,0,yyyy-mm-dd
SP-220,4,Bact,25,j,15,yyyy-mm-dd
SP-218,2,Bact,25,j,15,yyyy-mm-dd
SP-240,24,Bact,25,j,15,yyyy-mm-dd
SP-231,15,Bact,25,j,15,yyyy-mm-dd
SP-228,12,Bact,25,j,15,yyyy-mm-dd
SP-233,17,Bact,25,j,15,yyyy-mm-dd
SP-222,6,Bact,25,j,30,yyyy-mm-dd
SP-229,13,Bact,25,j,30,yyyy-mm-dd
SP-223,7,Bact,25,j,30,yyyy-mm-dd
SP-236,20,Bact,25,j,30,yyyy-mm-dd
SP-226,10,Bact,25,j,30,yyyy-mm-dd
SP-225,9,Bact,25,j,30,yyyy-mm-dd
SP-239,23,Bact,25,j,60,yyyy-mm-dd
SP-217,1,Bact,25,j,60,yyyy-mm-dd
SP-238,22,Bact,25,j,60,yyyy-mm-dd
SP-237,21,Bact,25,j,60,yyyy-mm-dd
SP-227,11,Bact,25,j,60,yyyy-mm-dd
SP-235,19,Bact,25,j,60,yyyy-mm-dd
SP-256,16,Bact+Am,25,k,0,yyyy-mm-dd
SP-243,3,Bact+Am,25,k,0,yyyy-mm-dd
SP-249,9,Bact+Am,25,k,0,yyyy-mm-dd
SP-246,6,Bact+Am,25,k,0,yyyy-mm-dd
SP-257,17,Bact+Am,25,k,0,yyyy-mm-dd
SP-262,22,Bact+Am,25,k,0,yyyy-mm-dd
SP-258,18,Bact+Am,25,k,15,yyyy-mm-dd
SP-264,24,Bact+Am,25,k,15,yyyy-mm-dd
SP-252,12,Bact+Am,25,k,15,yyyy-mm-dd
SP-253,13,Bact+Am,25,k,15,yyyy-mm-dd
SP-255,15,Bact+Am,25,k,15,yyyy-mm-dd
SP-254,14,Bact+Am,25,k,15,yyyy-mm-dd
SP-247,7,Bact+Am,25,k,30,yyyy-mm-dd
SP-260,20,Bact+Am,25,k,30,yyyy-mm-dd
SP-245,5,Bact+Am,25,k,30,yyyy-mm-dd
SP-244,4,Bact+Am,25,k,30,yyyy-mm-dd
SP-242,2,Bact+Am,25,k,30,yyyy-mm-dd
SP-251,11,Bact+Am,25,k,30,yyyy-mm-dd
SP-263,23,Bact+Am,25,k,60,yyyy-mm-dd
SP-250,10,Bact+Am,25,k,60,yyyy-mm-dd
SP-241,1,Bact+Am,25,k,60,yyyy-mm-dd
SP-248,8,Bact+Am,25,k,60,yyyy-mm-dd
SP-261,21,Bact+Am,25,k,60,yyyy-mm-dd
SP-259,19,Bact+Am,25,k,60,yyyy-mm-dd
SP-284,20,Unfiltered,25,l,0,yyyy-mm-dd
SP-283,19,Unfiltered,25,l,0,yyyy-mm-dd
SP-282,18,Unfiltered,25,l,0,yyyy-mm-dd
SP-274,10,Unfiltered,25,l,0,yyyy-mm-dd
SP-280,16,Unfiltered,25,l,0,yyyy-mm-dd
SP-276,12,Unfiltered,25,l,0,yyyy-mm-dd
SP-288,24,Unfiltered,25,l,15,yyyy-mm-dd
SP-272,8,Unfiltered,25,l,15,yyyy-mm-dd
SP-269,5,Unfiltered,25,l,15,yyyy-mm-dd
SP-271,7,Unfiltered,25,l,15,yyyy-mm-dd
SP-265,1,Unfiltered,25,l,15,yyyy-mm-dd
SP-267,3,Unfiltered,25,l,15,yyyy-mm-dd
SP-277,13,Unfiltered,25,l,30,yyyy-mm-dd
SP-270,6,Unfiltered,25,l,30,yyyy-mm-dd
SP-286,22,Unfiltered,25,l,30,yyyy-mm-dd
SP-278,14,Unfiltered,25,l,30,yyyy-mm-dd
SP-266,2,Unfiltered,25,l,30,yyyy-mm-dd
SP-275,11,Unfiltered,25,l,30,yyyy-mm-dd
SP-279,15,Unfiltered,25,l,60,yyyy-mm-dd
SP-273,9,Unfiltered,25,l,60,yyyy-mm-dd
SP-268,4,Unfiltered,25,l,60,yyyy-mm-dd
SP-285,21,Unfiltered,25,l,60,yyyy-mm-dd
SP-281,17,Unfiltered,25,l,60,yyyy-mm-dd
SP-287,23,Unfiltered,25,l,60,yyyy-mm-dd
